Red Dead Redemption; Ação/Aventura; PlayStation 3; 47; 2010
Red Dead Redemption; Ação/Aventura; Xbox 360; 47; 2010
Mass Effect 2; RPG; PC; 72; 2010
Mass Effect 2; RPG; Xbox 360; 72; 2010
BioShock 2; Tiro em primeira pessoa; PC; 81; 2010
BioShock 2; Tiro em primeira pessoa; Xbox 360; 81; 2010
Heavy Rain; Ação/Aventura; PlayStation 3; 18; 2010
God of War III; Ação; PlayStation 3; 39; 2010
God of War III; Ação; PlayStation 4; 39; 2010
Call of Duty: Black Ops; Tiro em primeira pessoa; PC; 63; 2010
Call of Duty: Black Ops; Tiro em primeira pessoa; PlayStation 3; 63; 2010
Call of Duty: Black Ops; Tiro em primeira pessoa; Xbox 360; 63; 2010
Halo: Reach; Tiro em primeira pessoa; Xbox 360; 57; 2010
Alan Wake; Ação/Aventura; Xbox 360; 34; 2010
Super Mario Galaxy 2; Plataforma; Wii; 88; 2010
Fallout: New Vegas; RPG; PC; 66; 2010
Fallout: New Vegas; RPG; PlayStation 3; 66; 2010
Fallout: New Vegas; RPG; Xbox 360; 66; 2010
Assassin's Creed: Brotherhood; Ação/Aventura; PlayStation 3; 98; 2010
Assassin's Creed: Brotherhood; Ação/Aventura; Xbox 360; 98; 2010
Assassin's Creed: Brotherhood; Ação/Aventura; PC; 98; 2010
Battlefield: Bad Company 2; Tiro em primeira pessoa; PlayStation 3; 79; 2010
Battlefield: Bad Company 2; Tiro em primeira pessoa; Xbox 360; 79; 2010
Battlefield: Bad Company 2; Tiro em primeira pessoa; PC; 79; 2010
Final Fantasy XIII; RPG; PlayStation 3; 49; 2010
Final Fantasy XIII; RPG; Xbox 360; 49; 2010
Super Meat Boy; Plataforma; Xbox 360; 25; 2010
Super Meat Boy; Plataforma; PC; 25; 2010
Limbo; Plataforma; Xbox 360; 11; 2010
Limbo; Plataforma; PC; 11; 2010
StarCraft II: Wings of Liberty; Estratégia em tempo real; PC; 62; 2010
Metro 2033; Tiro em primeira pessoa; PC; 55; 2010
Metro 2033; Tiro em primeira pessoa; Xbox 360; 55; 2010
Super Street Fighter IV; Luta; PlayStation 3; 92; 2010
Super Street Fighter IV; Luta; Xbox 360; 92; 2010
Need for Speed: Hot Pursuit; Corrida; PlayStation 3; 73; 2010
